accuracy,balanced_accuracy,roc_auc,average_precision,precision,recall_sensitivity,specificity,npv,f1,brier_score,ece_10_bins,threshold,tn,fp,fn,tp
0.8333333333333334,0.8408521303258145,0.9093567251461988,0.9509640661693891,0.94,0.8245614035087719,0.8571428571428571,0.6428571428571429,0.8785046728971962,0.13653216524976836,0.13445140084420415,0.5,36,6,20,94
0.8205128205128205,0.8320802005012531,0.9093567251461988,0.9509640661693891,0.9387755102040817,0.8070175438596491,0.8571428571428571,0.6206896551724138,0.8679245283018868,0.13653216524976836,0.13445140084420415,0.51,36,6,22,92
0.8205128205128205,0.8320802005012531,0.9093567251461988,0.9509640661693891,0.9387755102040817,0.8070175438596491,0.8571428571428571,0.6206896551724138,0.8679245283018868,0.13653216524976836,0.13445140084420415,0.52,36,6,22,92
0.8205128205128205,0.8320802005012531,0.9093567251461988,0.9509640661693891,0.9387755102040817,0.8070175438596491,0.8571428571428571,0.6206896551724138,0.8679245283018868,0.13653216524976836,0.13445140084420415,0.53,36,6,22,92
0.8205128205128205,0.8320802005012531,0.9093567251461988,0.9509640661693891,0.9387755102040817,0.8070175438596491,0.8571428571428571,0.6206896551724138,0.8679245283018868,0.13653216524976836,0.13445140084420415,0.54,36,6,22,92
0.8205128205128205,0.8320802005012531,0.9093567251461988,0.9509640661693891,0.9387755102040817,0.8070175438596491,0.8571428571428571,0.6206896551724138,0.8679245283018868,0.13653216524976836,0.13445140084420415,0.55,36,6,22,92
0.8205128205128205,0.8320802005012531,0.9093567251461988,0.9509640661693891,0.9387755102040817,0.8070175438596491,0.8571428571428571,0.6206896551724138,0.8679245283018868,0.13653216524976836,0.13445140084420415,0.56,36,6,22,92
0.8076923076923077,0.8233082706766917,0.9093567251461988,0.9509640661693891,0.9375,0.7894736842105263,0.8571428571428571,0.6,0.8571428571428571,0.13653216524976836,0.13445140084420415,0.57,36,6,24,90
0.8076923076923077,0.8233082706766917,0.9093567251461988,0.9509640661693891,0.9375,0.7894736842105263,0.8571428571428571,0.6,0.8571428571428571,0.13653216524976836,0.13445140084420415,0.58,36,6,24,90
0.8076923076923077,0.8233082706766917,0.9093567251461988,0.9509640661693891,0.9375,0.7894736842105263,0.8571428571428571,0.6,0.8571428571428571,0.13653216524976836,0.13445140084420415,0.59,36,6,24,90
